1, 6
6, 1
2, 7
7, 2
3, 7
7, 3
4, 8
8, 4
5, 7
7, 5
5, 8
8, 5
5, 9
9, 5
6, 12
12, 6
7, 12
12, 7
7, 13
13, 7
8, 10
10, 8
9, 10
10, 9
9, 11
11, 9
11, 14
14, 11
15, 20
20, 15
16, 18
18, 16
17, 18
18, 17
17, 19
19, 17
18, 24
24, 18
19, 22
22, 19
20, 23
23, 20
22, 26
26, 22
23, 25
25, 23
24, 27
27, 24
26, 28
28, 26
29, 35
35, 29
30, 33
33, 30
30, 34
34, 30
31, 33
33, 31
31, 34
34, 31
32, 33
33, 32
33, 37
37, 33
34, 37
37, 34
34, 38
38, 34
35, 36
36, 35
36, 40
40, 36
37, 39
39, 37
38, 39
39, 38
38, 41
41, 38
40, 42
42, 40
41, 42
42, 41
44, 48
48, 44
45, 47
47, 45
45, 49
49, 45
46, 47
47, 46
46, 49
49, 46
47, 50
50, 47
47, 52
52, 47
48, 51
51, 48
49, 50
50, 49
49, 52
52, 49
49, 53
53, 49
51, 54
54, 51
51, 55
55, 51
53, 54
54, 53
58, 62
62, 58
59, 61
61, 59
60, 62
62, 60
60, 63
63, 60
61, 64
64, 61
62, 65
65, 62
63, 65
65, 63
63, 66
66, 63
64, 67
67, 64
66, 68
68, 66
67, 69
69, 67
68, 69
69, 68
68, 70
70, 68
71, 75
75, 71
72, 74
74, 72
73, 75
75, 73
74, 76
76, 74
75, 77
77, 75
76, 78
78, 76
77, 79
79, 77
78, 81
81, 78
80, 82
82, 80
81, 83
83, 81
83, 84
84, 83
85, 90
90, 85
86, 88
88, 86
87, 89
89, 87
88, 91
91, 88
88, 92
92, 88
89, 94
94, 89
90, 91
91, 90
90, 93
93, 90
92, 95
95, 92
92, 96
96, 92
92, 97
97, 92
93, 97
97, 93
94, 95
95, 94
96, 98
98, 96
99, 105
105, 99
100, 103
103, 100
101, 103
103, 101
102, 104
104, 102
103, 107
107, 103
104, 107
107, 104
104, 108
108, 104
105, 106
106, 105
107, 109
109, 107
108, 109
109, 108
108, 110
110, 108
108, 112
112, 108
110, 111
111, 110
113, 116
116, 113
114, 118
118, 114
115, 117
117, 115
116, 119
119, 116
117, 121
121, 117
118, 120
120, 118
119, 122
122, 119
119, 123
123, 119
122, 124
124, 122
123, 125
125, 123
125, 126
126, 125
127, 131
131, 127
128, 130
130, 128
128, 131
131, 128
129, 131
131, 129
129, 132
132, 129
130, 133
133, 130
132, 133
133, 132
132, 134
134, 132
133, 135
135, 133
134, 135
135, 134
134, 136
136, 134
135, 137
137, 135
136, 137
137, 136
136, 138
138, 136
136, 140
140, 136
137, 139
139, 137
138, 139
139, 138
